iter	Passed	Remaining
152	724	4010
153	728	4001
154	731	3987
155	735	3980
156	737	3961
157	740	3945
158	742	3929
159	747	3926
160	752	3921
161	754	3903
162	759	3897
163	764	3894
164	766	3879
165	768	3862
166	771	3847
167	773	3831
168	776	3817
169	778	3799
170	781	3786
171	783	3772
172	785	3756
173	790	3753
174	792	3738
175	796	3728
176	800	3722
177	803	3709
178	805	3693
179	807	3679
180	811	3673
181	816	3671
182	821	3669
183	825	3658
184	828	3648
185	830	3636
186	834	3627
187	840	3629
188	842	3616
189	878	3745
190	881	3731
191	883	3717
192	885	3703
193	889	3695
194	891	3681
195	894	3667
196	896	3655
197	898	3641
198	902	3631
199	905	3620
200	910	3619
201	913	3607
202	915	3593
203	917	3580
204	921	3573
205	925	3566
206	927	3554
207	931	3548
208	934	3536
209	937	3525
210	939	3514
211	943	3508
212	948	3504
213	953	3502
214	956	3491
215	958	3479
216	961	3468
217	964	3460
218	967	3450
219	970	3441
220	975	3436
221	977	3426
222	980	3415
223	982	3403
224	989	3408
225	992	3398
226	995	3388
227	1000	3387
228	1003	3377
229	1005	3367
230	1008	3355
231	1011	3349
232	1014	3339
233	1016	3328
234	1019	3318
235	1025	3318
236	1027	3308
237	1030	3299
238	1035	3298
239	1038	3289
240	1040	3278
241	1043	3268
242	1048	3265
243	1050	3255
244	1053	3245
245	1055	3234
246	1058	3227
247	1061	3219
248	1064	3210
249	1072	3216
250	1074	3206
251	1077	3197
252	1083	3198
253	1085	3188
254	1088	3178
255	1092	3175
256	1095	3167
257	1098	3160
258	1101	3152
259	1106	3148
260	1108	3139
261	1111	3131
262	1114	3124
263	1120	3123
264	1123	3115
265	1126	3109
266	1129	3100
267	1131	3090
268	1134	3082
269	1137	3074
270	1140	3069
271	1143	3061
272	1147	3057
273	1150	3049
274	1156	3048
275	1159	3041
276	1161	3032
277	1167	3032
278	1170	3023
279	1172	3015
280	1177	3013
281	1180	3004
282	1183	2999
283	1186	2990
284	1188	2982
285	1191	2975
286	1194	2966
287	1197	2960
288	1199	2952
289	1203	2946
290	1205	2936
291	1209	2932
292	1212	2926
293	1222	2936
294	1226	2930
295	1230	2926
296	1232	2917
297	1235	2911
298	1238	2902
299	1241	2897
300	1244	2889
301	1247	2884
302	1250	2876
303	1252	2868
304	1256	2863
305	1259	2856
306	1264	2853
307	1266	2846
308	1273	2848
309	1276	2840
310	1278	2832
311	1283	2829
312	1286	2822
313	1289	2816
314	1291	2809
315	1294	2802
316	1299	2799
317	1301	2791
318	1307	2791
319	1311	2786
320	1313	2778
321	1319	2779
322	1325	2777
323	1327	2769
324	1330	2764
325	1335	2760
326	1337	2752
327	1340	2745
328	1343	2739
329	1345	2732
330	1348	2725
331	1350	2717
332	1354	2713
333	1357	2707
334	1359	2699
335	1362	2693
336	1365	2686
337	1368	2681
338	1371	2674
339	1378	2675
340	1381	2669
341	1383	2662
342	1386	2655
343	1389	2649
344	1393	2645
345	1396	2639
346	1398	2631
347	1401	2624
348	1404	2619
349	1406	2612
350	1409	2605
351	1411	2599
352	1418	2600
353	1421	2593
354	1423	2585
355	1428	2584
356	1432	2580
357	1435	2573
358	1440	2572
359	1443	2566
360	1446	2560
361	1448	2552
362	1451	2547
363	1454	2541
364	1456	2534
365	1460	2529
366	1462	2522
367	1466	2518
368	1469	2512
369	1471	2505
370	1474	2499
371	1479	2497
372	1482	2491
373	1484	2485
374	1487	2478
375	1489	2472
376	1493	2467
377	1495	2460
378	1501	2460
379	1504	2454
380	1506	2448
381	1514	2449
382	1516	2442
383	1518	2435
384	1523	2434
385	1525	2427
386	1529	2422
387	1531	2416
388	1535	2411
389	1537	2405
390	1542	2402
391	1546	2397
392	1548	2391
393	1550	2385
394	1555	2382
395	1560	2379
396	1562	2373
397	1569	2374
398	1572	2368
399	1575	2362
400	1581	2362
401	1584	2356
402	1587	2351
403	1589	2345
404	1592	2339
405	1594	2332
406	1597	2327
407	1602	2325
408	1605	2319
409	1607	2313
410	1610	2307
411	1615	2305
412	1618	2299
413	1622	2296
414	1627	2294
415	1630	2289
416	1633	2283
417	1636	2279
418	1639	2273
419	1642	2268
420	1644	2261
421	1646	2255
422	1651	2253
423	1654	2247
424	1656	2241
425	1659	2235
